Transaction_ID,Date,City,Region,Product,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Revenue,Cost,Profit,Sales_Channel,Customer_Type,Month,Month_Number,Quarter,Year,Profit_Margin_Percent,Unnamed: 20,Gross_Sale,DIS_Amount
KSA00001,2026-06-05,Hubballi,North Karnataka,Printer,16,7350,0,117600,0.0,117600.0,76042.14,41557.86,Distributor,Medium Business,June,6,Q2,2026,35.34,,117600,0.0
KSA00002,2025-10-08,Kolar,South Karnataka,Desktop PC,17,50453,5,857701,42885.05,814815.95,688239.14,126576.81,Retail Store,Enterprise,October,10,Q4,2025,15.53,,857701,367825502.7005
KSA00003,2025-05-22,Kodagu,Malnad Karnataka,Smartphone,4,42769,15,171076,25661.4,145414.6,98114.01,47300.59,Corporate,Enterprise,May,5,Q2,2025,32.53,,171076,43900496.664
KSA00004,2025-12-03,Mangaluru,Coastal Karnataka,Smartphone,20,24571,10,491420,49142.0,442278.0,276992.93,165285.07,Retail Store,Enterprise,December,12,Q4,2025,37.37,,491420,241493616.4
KSA00005,2025-06-22,Chitradurga,Central Karnataka,Headphones,3,5533,5,16599,829.95,15769.05,11547.93,4221.12,Distributor,Medium Business,June,6,Q2,2025,26.77,,16599,137763.4005
KSA00006,2025-01-18,Dharwad,North Karnataka,Laptop,20,72317,15,1446340,216951.0,1229389.0,814683.89,414705.11,Retail Store,Medium Business,January,1,Q1,2025,33.73,,1446340,3137849093.4
KSA00007,2025-05-12,Kalaburagi,Kalyana Karnataka,Camera,16,82738,5,1323808,66190.4,1257617.6,942854.45,314763.15,Corporate,Small Business,May,5,Q2,2025,25.03,,1323808,876233810.432
KSA00008,2025-06-26,Vijayapura,North Karnataka,Smartwatch,8,8682,10,69456,6945.6,62510.4,39780.17,22730.23,Retail Store,Enterprise,June,6,Q2,2025,36.36,,69456,4824135.936
KSA00009,2025-03-18,Mysuru,South Karnataka,Desktop PC,11,42424,20,466664,93332.8,373331.2,237107.45,136223.75,Online,Individual,March,3,Q1,2025,36.49,,466664,435550577.792
KSA00010,2026-03-23,Chitradurga,Central Karnataka,Headphones,10,4568,20,45680,9136.0,36544.0,27389.49,9154.51,Online,Medium Business,March,3,Q1,2026,25.05,,45680,4173324.8
KSA00011,2025-05-03,Davangere,Central Karnataka,Printer,20,17526,0,350520,0.0,350520.0,256583.73,93936.27,Corporate,Small Business,May,5,Q2,2025,26.8,,350520,0.0
KSA00012,2026-05-01,Hassan,South Karnataka,Smartphone,13,20022,10,260286,26028.6,234257.4,143825.43,90431.97,Retail Store,Enterprise,May,5,Q2,2026,38.6,,260286,67748801.796
KSA00013,2025-05-19,Tumakuru,South Karnataka,Tablet,13,34445,0,447785,0.0,447785.0,309913.53,137871.47,Retail Store,Small Business,May,5,Q2,2025,30.79,,447785,0.0
KSA00014,2025-02-27,Bengaluru,South Karnataka,Headphones,3,2413,10,7239,723.9,6515.1,3962.29,2552.81,Distributor,Medium Business,February,2,Q1,2025,39.18,,7239,52403.121
KSA00015,2025-03-19,Mysuru,South Karnataka,Printer,2,7148,15,14296,2144.4,12151.6,7561.35,4590.25,Retail Store,Medium Business,March,3,Q1,2025,37.77,,14296,306563.424
KSA00016,2026-04-24,Mangaluru,Coastal Karnataka,Laptop,3,58527,20,175581,35116.2,140464.8,87572.19,52892.61,Online,Individual,April,4,Q2,2026,37.66,,175581,61657375.122
KSA00017,2025-03-16,Hubballi,North Karnataka,Smartwatch,19,7594,10,144286,14428.6,129857.4,94041.97,35815.43,Online,Small Business,March,3,Q1,2025,27.58,,144286,20818449.796
KSA00018,2025-07-14,Kolar,South Karnataka,Monitor,12,15757,5,189084,9454.2,179629.8,134323.97,45305.83,Corporate,Small Business,July,7,Q3,2025,25.22,,189084,17876379.528
KSA00019,2025-03-29,Kodagu,Malnad Karnataka,Smartphone,18,24993,20,449874,89974.8,359899.2,305295.06,54604.14,Retail Store,Enterprise,March,3,Q1,2025,15.17,,449874,404773231.752
KSA00020,2025-07-02,Kodagu,Malnad Karnataka,Printer,11,13077,10,143847,14384.7,129462.3,85238.54,44223.76,Retail Store,Small Business,July,7,Q3,2025,34.16,,143847,20691959.409
KSA00021,2025-04-24,Hubballi,North Karnataka,Laptop,4,74137,0,296548,0.0,296548.0,212216.27,84331.73,Retail Store,Enterprise,April,4,Q2,2025,28.44,,296548,0.0
KSA00022,2025-05-12,Kalaburagi,Kalyana Karnataka,Camera,5,47365,5,236825,11841.25,224983.75,160371.71,64612.04,Retail Store,Small Business,May,5,Q2,2025,28.72,,236825,28043040.3125
KSA00023,2026-02-20,Kodagu,Malnad Karnataka,Headphones,20,5215,10,104300,10430.0,93870.0,58885.61,34984.39,Retail Store,Enterprise,February,2,Q1,2026,37.27,,104300,10878490.0
KSA00024,2025-11-01,Chitradurga,Central Karnataka,Smartphone,9,22737,10,204633,20463.3,184169.7,120280.3,63889.4,Retail Store,Medium Business,November,11,Q4,2025,34.69,,204633,41874664.689
KSA00025,2025-06-15,Bengaluru,South Karnataka,Printer,9,10429,10,93861,9386.1,84474.9,58895.51,25579.39,Distributor,Small Business,June,6,Q2,2025,30.28,,93861,8809887.321
KSA00026,2025-03-29,Mysuru,South Karnataka,Smartwatch,1,4119,5,4119,205.95,3913.05,2420.97,1492.08,Corporate,Individual,March,3,Q1,2025,38.13,,4119,8483.0805
KSA00027,2025-02-09,Dharwad,North Karnataka,Camera,20,47660,5,953200,47660.0,905540.0,667336.35,238203.65,Retail Store,Individual,February,2,Q1,2025,26.31,,953200,454295120.0
KSA00028,2025-05-26,Ballari,Kalyana Karnataka,Printer,9,15104,15,135936,20390.4,115545.6,74601.51,40944.09,Online,Individual,May,5,Q2,2025,35.44,,135936,27717894.144
KSA00029,2026-06-07,Kalaburagi,Kalyana Karnataka,Laptop,6,69209,15,415254,62288.1,352965.9,237751.69,115214.21,Retail Store,Enterprise,June,6,Q2,2026,32.64,,415254,258653826.774
KSA00030,2025-12-24,Ballari,Kalyana Karnataka,Desktop PC,17,56808,5,965736,48286.8,917449.2,739275.51,178173.69,Retail Store,Medium Business,December,12,Q4,2025,19.42,,965736,466323010.848
KSA00031,2026-04-02,Bengaluru,South Karnataka,Laptop,15,70810,20,1062150,212430.0,849720.0,655266.73,194453.27,Retail Store,Small Business,April,4,Q2,2026,22.88,,1062150,2256325245.0
KSA00032,2025-06-17,Kodagu,Malnad Karnataka,Camera,8,79616,5,636928,31846.4,605081.6,512756.07,92325.53,Online,Individual,June,6,Q2,2025,15.26,,636928,202838638.592
KSA00033,2025-02-04,Bidar,Kalyana Karnataka,Smartphone,16,27235,0,435760,0.0,435760.0,273592.6,162167.4,Online,Medium Business,February,2,Q1,2025,37.21,,435760,0.0
KSA00034,2025-03-06,Hassan,South Karnataka,Printer,14,8347,15,116858,17528.7,99329.3,75918.25,23411.05,Retail Store,Enterprise,March,3,Q1,2025,23.57,,116858,20483688.246
KSA00035,2025-11-28,Bidar,Kalyana Karnataka,Headphones,18,3260,10,58680,5868.0,52812.0,43046.98,9765.02,Retail Store,Enterprise,November,11,Q4,2025,18.49,,58680,3443342.4
KSA00036,2026-02-16,Bengaluru,South Karnataka,Smartphone,2,29587,10,59174,5917.4,53256.6,37447.92,15808.68,Distributor,Small Business,February,2,Q1,2026,29.68,,59174,3501562.276
KSA00037,2026-05-23,Kalaburagi,Kalyana Karnataka,Smartwatch,4,4451,10,17804,1780.4,16023.6,12199.93,3823.67,Online,Medium Business,May,5,Q2,2026,23.86,,17804,316982.416
KSA00038,2025-03-13,Bidar,Kalyana Karnataka,Headphones,14,2868,5,40152,2007.6,38144.4,32358.69,5785.71,Online,Individual,March,3,Q1,2025,15.17,,40152,806091.552
KSA00039,2025-02-05,Mangaluru,Coastal Karnataka,Smartphone,7,25721,0,180047,0.0,180047.0,115834.88,64212.12,Distributor,Medium Business,February,2,Q1,2025,35.66,,180047,0.0
KSA00040,2025-11-29,Bidar,Kalyana Karnataka,Desktop PC,12,58014,15,696168,104425.2,591742.8,381922.55,209820.25,Online,Enterprise,November,11,Q4,2025,35.46,,696168,726974826.336
KSA00041,2026-05-01,Dharwad,North Karnataka,Monitor,2,14887,15,29774,4466.1,25307.9,20622.37,4685.53,Retail Store,Individual,May,5,Q2,2026,18.51,,29774,1329736.614
KSA00042,2026-04-11,Bengaluru,South Karnataka,Printer,19,7938,15,150822,22623.3,128198.7,81177.19,47021.51,Corporate,Medium Business,April,4,Q2,2026,36.68,,150822,34120913.526
KSA00043,2025-04-03,Mysuru,South Karnataka,Tablet,10,28718,0,287180,0.0,287180.0,223987.81,63192.19,Corporate,Small Business,April,4,Q2,2025,22.0,,287180,0.0
KSA00044,2026-03-30,Chitradurga,Central Karnataka,Tablet,8,19110,0,152880,0.0,152880.0,119940.51,32939.49,Retail Store,Enterprise,March,3,Q1,2026,21.55,,152880,0.0
KSA00045,2026-01-05,Tumakuru,South Karnataka,Laptop,19,55640,0,1057160,0.0,1057160.0,802856.4,254303.6,Retail Store,Enterprise,January,1,Q1,2026,24.06,,1057160,0.0
KSA00046,2026-05-11,Mangaluru,Coastal Karnataka,Headphones,20,6508,0,130160,0.0,130160.0,86936.93,43223.07,Retail Store,Individual,May,5,Q2,2026,33.21,,130160,0.0
KSA00047,2026-04-06,Belagavi,North Karnataka,Monitor,6,25303,15,151818,22772.7,129045.3,107109.12,21936.18,Retail Store,Individual,April,4,Q2,2026,17.0,,151818,34573057.686
KSA00048,2025-03-28,Kalaburagi,Kalyana Karnataka,Tablet,8,20997,0,167976,0.0,167976.0,103661.62,64314.38,Online,Individual,March,3,Q1,2025,38.29,,167976,0.0
KSA00049,2026-06-24,Mysuru,South Karnataka,Headphones,11,1604,15,17644,2646.6,14997.4,11478.82,3518.58,Online,Small Business,June,6,Q2,2026,23.46,,17644,466966.104
KSA00050,2025-08-19,Mandya,South Karnataka,Smartwatch,5,6790,10,33950,3395.0,30555.0,24184.28,6370.72,Retail Store,Enterprise,August,8,Q3,2025,20.85,,33950,1152602.5
KSA00051,2025-03-18,Vijayapura,North Karnataka,Laptop,10,71353,10,713530,71353.0,642177.0,473051.95,169125.05,Corporate,Medium Business,March,3,Q1,2025,26.34,,713530,509125060.9
KSA00052,2025-04-26,Belagavi,North Karnataka,Smartphone,5,25345,5,126725,6336.25,120388.75,84516.12,35872.63,Retail Store,Medium Business,April,4,Q2,2025,29.8,,126725,8029612.8125
KSA00053,2025-10-02,Chitradurga,Central Karnataka,Smartphone,20,28212,15,564240,84636.0,479604.0,329338.57,150265.43,Online,Enterprise,October,10,Q4,2025,31.33,,564240,477550166.4
KSA00054,2026-02-26,Mandya,South Karnataka,Headphones,15,5399,5,80985,4049.25,76935.75,47829.26,29106.49,Retail Store,Individual,February,2,Q1,2026,37.83,,80985,3279285.1125
KSA00055,2025-04-04,Davangere,Central Karnataka,Monitor,1,19402,15,19402,2910.3,16491.7,11880.03,4611.67,Online,Enterprise,April,4,Q2,2025,27.96,,19402,564656.406
KSA00056,2025-06-01,Hubballi,North Karnataka,Desktop PC,16,45633,10,730128,73012.8,657115.2,470293.0,186822.2,Corporate,Enterprise,June,6,Q2,2025,28.43,,730128,533086896.384
KSA00057,2025-09-04,Tumakuru,South Karnataka,Keyboard,11,2587,0,28457,0.0,28457.0,17885.8,10571.2,Corporate,Individual,September,9,Q3,2025,37.15,,28457,0.0
KSA00058,2026-03-12,Chitradurga,Central Karnataka,Monitor,12,22321,5,267852,13392.6,254459.4,161161.77,93297.63,Distributor,Enterprise,March,3,Q1,2026,36.67,,267852,35872346.952
KSA00059,2025-01-21,Hubballi,North Karnataka,Monitor,8,18276,10,146208,14620.8,131587.2,79407.83,52179.37,Retail Store,Medium Business,January,1,Q1,2025,39.65,,146208,21376779.264
KSA00060,2026-01-28,Hubballi,North Karnataka,Desktop PC,6,61536,5,369216,18460.8,350755.2,253145.58,97609.62,Retail Store,Enterprise,January,1,Q1,2026,27.83,,369216,68160227.328
KSA00061,2026-03-23,Kalaburagi,Kalyana Karnataka,Printer,7,9177,5,64239,3211.95,61027.05,42806.43,18220.62,Corporate,Individual,March,3,Q1,2026,29.86,,64239,2063324.5605
KSA00062,2026-05-12,Shivamogga,Malnad Karnataka,Monitor,20,21107,15,422140,63321.0,358819.0,228540.83,130278.17,Online,Individual,May,5,Q2,2026,36.31,,422140,267303269.4
KSA00063,2026-05-02,Udupi,Coastal Karnataka,Camera,4,57314,0,229256,0.0,229256.0,177904.69,51351.31,Corporate,Enterprise,May,5,Q2,2026,22.4,,229256,0.0
KSA00064,2026-03-21,Raichur,Kalyana Karnataka,Smartphone,12,26425,5,317100,15855.0,301245.0,218579.7,82665.3,Retail Store,Medium Business,March,3,Q1,2026,27.44,,317100,50276205.0
KSA00065,2025-01-28,Dharwad,North Karnataka,Smartphone,6,13892,10,83352,8335.2,75016.8,52712.57,22304.23,Distributor,Medium Business,January,1,Q1,2025,29.73,,83352,6947555.904
KSA00066,2025-11-24,Mysuru,South Karnataka,Printer,20,13767,20,275340,55068.0,220272.0,133268.02,87003.98,Distributor,Medium Business,November,11,Q4,2025,39.5,,275340,151624231.2
KSA00067,2025-11-09,Kolar,South Karnataka,Smartphone,18,17469,0,314442,0.0,314442.0,197575.62,116866.38,Distributor,Enterprise,November,11,Q4,2025,37.17,,314442,0.0
KSA00068,2026-01-13,Kodagu,Malnad Karnataka,Desktop PC,2,69810,5,139620,6981.0,132639.0,93009.21,39629.79,Corporate,Medium Business,January,1,Q1,2026,29.88,,139620,9746872.2
KSA00069,2026-05-10,Udupi,Coastal Karnataka,Tablet,20,24300,10,486000,48600.0,437400.0,295603.4,141796.6,Retail Store,Enterprise,May,5,Q2,2026,32.42,,486000,236196000.0
KSA00070,2025-01-22,Bengaluru,South Karnataka,Monitor,15,15033,0,225495,0.0,225495.0,165946.97,59548.03,Retail Store,Enterprise,January,1,Q1,2025,26.41,,225495,0.0
KSA00071,2026-01-24,Bidar,Kalyana Karnataka,Headphones,17,5205,0,88485,0.0,88485.0,63221.64,25263.36,Online,Medium Business,January,1,Q1,2026,28.55,,88485,0.0
KSA00072,2025-08-22,Hubballi,North Karnataka,Tablet,4,34152,0,136608,0.0,136608.0,114860.71,21747.29,Retail Store,Medium Business,August,8,Q3,2025,15.92,,136608,0.0
KSA00073,2025-05-13,Dharwad,North Karnataka,Headphones,4,4034,15,16136,2420.4,13715.6,10302.03,3413.57,Distributor,Enterprise,May,5,Q2,2025,24.89,,16136,390555.744
KSA00074,2025-03-18,Kolar,South Karnataka,Printer,13,16678,10,216814,21681.4,195132.6,145208.4,49924.2,Retail Store,Enterprise,March,3,Q1,2025,25.58,,216814,47008310.596
KSA00075,2025-01-18,Raichur,Kalyana Karnataka,Laptop,20,47828,5,956560,47828.0,908732.0,576200.18,332531.82,Corporate,Medium Business,January,1,Q1,2025,36.59,,956560,457503516.8
KSA00076,2026-05-05,Mandya,South Karnataka,Desktop PC,13,59969,0,779597,0.0,779597.0,551947.97,227649.03,Corporate,Medium Business,May,5,Q2,2026,29.2,,779597,0.0
